round,accuracy,precision,recall,f1,winner_office,attack_detected,epsilon_spent
1,0.7901,0.9134406263592867,0.525,0.6667725035719956,1,False,10.0
2,0.5988,0.22727272727272727,0.00125,0.002486325211337643,2,False,20.0
3,0.9689,0.9304550758459743,0.99675,0.9624622812311406,4,False,30.0
4,0.9112,1.0,0.778,0.875140607424072,4,False,40.0
5,0.9882,0.9997425334706488,0.97075,0.9850329781836631,0,False,50.0
6,0.9989,0.9994991234660656,0.99775,0.9986237958213436,0,False,60.0
7,0.9634,0.9161704076958315,1.0,0.9562514941429596,1,False,70.0
8,0.9826,0.9583133684714902,1.0,0.9787129924149743,1,False,80.0
